26387939,摔跤吧！爸爸,涅提·蒂瓦里,9.0,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg
1291552,指环王3：王者无敌,彼得·杰克逊,9.2,维果·莫腾森/伊利亚·伍德/西恩·奥斯汀,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg
1291583,天空之城,宫崎骏,9.1,田中真弓/横泽启子/初井言荣,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg
1291858,鬼子来了,姜文,9.2,姜文/香川照之/袁丁,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
1293182,十二怒汉,西德尼·吕美特,9.4,亨利·方达/马丁·鲍尔萨姆/约翰·菲德勒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
1291828,天堂电影院,朱塞佩·托纳多雷,9.2,安东内拉·阿蒂利/恩佐·卡拉瓦勒/艾萨·丹尼埃利,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg
2129039,飞屋环游记,彼特·道格特,9.0,爱德华·阿斯纳/克里斯托弗·普卢默/乔丹·长井,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg
1299398,大话西游之月光宝盒,刘镇伟,9.0,周星驰/吴孟达/罗家英,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
1308807,哈尔的移动城堡,宫崎骏,9.0,倍赏千惠子/木村拓哉/美轮明宏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg
1293839,罗马假日,威廉·惠勒,9.0,奥黛丽·赫本/格利高里·派克/埃迪·艾伯特,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
1292000,搏击俱乐部,大卫·芬奇,9.0,爱德华·诺顿/布拉德·皮特/海伦娜·伯翰·卡特,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
1293172,末代皇帝,贝纳尔多·贝托鲁奇,9.2,尊龙/陈冲/邬君梅,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
20495023,寻梦环游记,李·昂克里奇,9.0,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg
1298624,闻香识女人,马丁·布莱斯特,9.0,阿尔·帕西诺/克里斯·奥唐纳/詹姆斯·瑞布霍恩,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
21937445,辩护人,杨宇硕,9.2,宋康昊/吴达洙/金英爱,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
21937452,素媛,李濬益,9.2,薛耿求/严志媛/李来,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
1900841,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,9.1,乌尔里希·穆埃/马蒂娜·格德克/塞巴斯蒂安·科赫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
1291548,死亡诗社,彼得·威尔,9.0,罗宾·威廉姆斯/罗伯特·肖恩·莱纳德/伊桑·霍克,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p502437344.jpg
1293350,两杆大烟枪,盖·里奇,9.1,杰森·弗莱明/德克斯特·弗莱彻/尼克·莫兰,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
1292224,飞越疯人院,米洛斯·福尔曼,9.1,杰克·尼科尔森/丹尼·德维托/克里斯托弗·洛伊德,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
1291572,指环王2：双塔奇兵,彼得·杰克逊,9.0,伊利亚·伍德/西恩·奥斯汀/伊恩·麦克莱恩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
1299131,教父2,弗朗西斯·福特·科波拉,9.2,阿尔·帕西诺/罗伯特·杜瓦尔/黛安·基顿,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
1301753,狮子王,罗杰·阿勒斯,9.0,乔纳森·泰勒·托马斯/马修·布罗德里克/杰瑞米·艾恩斯,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg
1291571,指环王1：魔戒再现,彼得·杰克逊,9.0,伊利亚·伍德/西恩·奥斯汀/伊恩·麦克莱恩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg
1309046,V字仇杀队,詹姆斯·麦克特格,8.9,娜塔莉·波特曼/雨果·维文/斯蒂芬·瑞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg
1306029,美丽心灵,朗·霍华德,9.0,罗素·克劳/艾德·哈里斯/詹妮弗·康纳利,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
1291818,饮食男女,李安,9.1,郎雄/杨贵媚/吴倩莲,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
30170448,何以为家,娜丁·拉巴基,9.1,赞恩·阿尔·拉菲亚/约丹诺斯·希费罗/博鲁瓦蒂夫·特雷杰·班科尔,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
3442220,海豚湾,路易·西霍尤斯,9.3,Richard O'Barry/路易·西霍尤斯/Hardy Jones,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
1292220,情书,岩井俊二,8.9,中山美穗/丰川悦司/酒井美纪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg
1418019,大闹天宫,万籁鸣,9.3,邱岳峰/富润生/毕克,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
1296736,钢琴家,罗曼·波兰斯基,9.1,艾德里安·布洛迪/托马斯·克莱舒曼/艾米莉娅·福克斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg
1295038,哈利·波特与魔法石,克里斯·哥伦布,8.9,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg
1485260,本杰明·巴顿奇事,大卫·芬奇,8.9,凯特·布兰切特/布拉德·皮特/朱莉娅·奥蒙德,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
26580232,看不见的客人,奥里奥尔·保罗,8.8,马里奥·卡萨斯/阿娜·瓦格纳/何塞·科罗纳多,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
1291843,黑客帝国,莉莉·沃卓斯基,8.9,基努·里维斯/劳伦斯·菲什伯恩/凯瑞-安·莫斯,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
1292402,西西里的美丽传说,朱塞佩·托纳多雷,8.8,莫妮卡·贝鲁奇/朱塞佩·苏尔法罗/Luciano Federico,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
1303021,小鞋子,马基德·马基迪,9.2,法拉赫阿米尔·哈什米安/默罕默德·阿米尔·纳吉/巴哈丽·西迪奇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg
3742360,让子弹飞,姜文,8.8,姜文/葛优/周润发,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
1292262,美国往事,赛尔乔·莱昂内,9.2,罗伯特·德尼罗/詹姆斯·伍兹/伊丽莎白·麦戈文,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
1292849,拯救大兵瑞恩,史蒂文·斯皮尔伯格,9.0,汤姆·汉克斯/汤姆·塞兹摩尔/爱德华·伯恩斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
1294408,音乐之声,罗伯特·怀斯,9.0,朱莉·安德鲁斯/克里斯托弗·普卢默/埃琳诺·帕克,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265302.jpg
1305487,猫鼠游戏,史蒂文·斯皮尔伯格,8.9,莱昂纳多·迪卡普里奥/汤姆·汉克斯/克里斯托弗·沃肯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
1780330,致命魔术,克里斯托弗·诺兰,8.8,休·杰克曼/克里斯蒂安·贝尔/迈克尔·凯恩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
1292223,七宗罪,大卫·芬奇,8.8,摩根·弗里曼/布拉德·皮特/凯文·史派西,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg
1787291,被嫌弃的松子的一生,中岛哲也,8.9,中谷美纪/瑛太/香川照之,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
1291832,低俗小说,昆汀·塔伦蒂诺,8.8,约翰·特拉沃尔塔/乌玛·瑟曼/阿曼达·普拉莫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
